model,Validity,Novelty,Uniq,IntDiv,QED
bimodal,1.0,0.811,0.986,0.9083052240383311,0.679442791553773
qadd,1.0,0.821,1.0,0.9217911885927299,0.47344658185007676
egnn,1.0,0.8,0.977,0.9007518204822904,0.43551237058524933
transformer,1.0,0.827,0.974,0.9006163369140815,0.4245198190909545
diffusion,1.0,0.781,0.976,0.8984336272216986,0.4299694713649739
our_model,0.95,1.0,0.9157894736842105,0.851254050310605,0.610102598545674
mars,1.0,0.806,0.488,0.902080134590981,0.42122945406531076
